intermediate boundry
-5.018500 12.500000 6

-5.303250 12.500000 6

-5.573500 12.500000 6

intermediate boundry
-5.573500 0.000000 6

-5.303250 -0.000000 6

-5.018500 0.000000 6

-4.720000 -0.000000 6

-4.408500 0.000000 6

-4.084750 -0.000000 6

-3.750000 -0.000000 6

-3.405000 0.000000 6

-3.050500 0.000000 6

3.050500 0.000000 6

3.405000 0.000000 6

3.750000 0.000000 6

4.084750 0.000000 6

4.408500 0.000000 6

4.720000 0.000000 6

5.018500 0.000000 6

5.303250 0.000000 6

5.573500 0.000000 6

5.573500 12.500000 6

5.303250 12.500000 6

5.018500 12.500000 6

4.720000 12.500000 6

4.408500 12.500000 6

4.084750 12.500000 6

3.750000 12.500000 6

3.405000 12.500000 6

3.050500 12.500000 6

-3.050500 12.500000 6

-3.405000 12.500000 6

-3.750000 12.500000 6

-4.084750 12.500000 6

-4.408500 12.500000 6

-4.720000 12.500000 6

-5.018500 12.500000 6

-5.303250 12.500000 6

-5.573500 12.500000 6

intermediate boundry
-5.573500 0.000000 6

-5.303250 -0.000000 6

-5.018500 0.000000 6

-4.720000 -0.000000 6

-4.408500 0.000000 6

-4.084750 -0.000000 6

-3.750000 -0.000000 6

-3.405000 0.000000 6

-3.050500 0.000000 6

3.050500 0.000000 6

3.405000 0.000000 6

3.750000 0.000000 6

4.084750 0.000000 6

4.408500 0.000000 6

4.720000 0.000000 6

5.018500 0.000000 6

5.303250 0.000000 6

5.573500 0.000000 6

5.573500 12.500000 6

5.303250 12.500000 6

5.018500 12.500000 6

4.720000 12.500000 6

4.408500 12.500000 6

4.084750 12.500000 6

3.750000 12.500000 6

3.405000 12.500000 6

3.050500 12.500000 6

-3.050500 12.500000 6

-3.405000 12.500000 6

-3.750000 12.500000 6

-4.084750 12.500000 6

-4.408500 12.500000 6

-4.720000 12.500000 6

-5.018500 12.500000 6

-5.303250 12.500000 6

-5.573500 12.500000 6

Final converged boundry
-5.573500 0.000000 6

-5.303250 -0.000000 6

-5.018500 0.000000 6

-4.720000 -0.000000 6

-4.408500 0.000000 6

-4.084750 -0.000000 6

-3.750000 -0.000000 6

-3.405000 0.000000 6

-3.050500 0.000000 6

3.050500 0.000000 6

3.405000 0.000000 6

3.750000 0.000000 6

4.084750 0.000000 6

4.408500 0.000000 6

4.720000 0.000000 6

5.018500 0.000000 6

5.303250 0.000000 6

5.573500 0.000000 6

5.573500 12.500000 6

5.303250 12.500000 6

5.018500 12.500000 6

4.720000 12.500000 6

4.408500 12.500000 6

4.084750 12.500000 6

3.750000 12.500000 6

3.405000 12.500000 6

3.050500 12.500000 6

-3.050500 12.500000 6

-3.405000 12.500000 6

-3.750000 12.500000 6

-4.084750 12.500000 6

-4.408500 12.500000 6

-4.720000 12.500000 6

-5.018500 12.500000 6

-5.303250 12.500000 6

-5.573500 12.500000 6

